URL,article_text,title,author,source,published_date,updated_date
https://www.reuters.com/world/africa/al-shabaab-captures-strategic-somalia-town-it-presses-offensive-2025-04-16/,"MOGADISHU, April 16 (Reuters) - Al Shabaab fighters captured a town in central Somalia on Wednesday that government forces had been using as a staging area to drive back an offensive by the militants that has gained ground in recent weeks, residents and soldiers said.

Advances by theal Qaeda affiliate, which included briefly capturing villages within 50 km (30 miles) of Mogadishu last month, have left residents of the capital on edge as rumours swirl that al Shabaab could target the city.

The army has recaptured those villages, but al Shabaab continues to advance in the countryside, leading the government to deploy police officers and prison guards to support the military, soldiers have told Reuters.

Six residents and three soldiers said al Shabaab seized the town of Adan Yabaal, which lies around 245 km (150 miles) north of Mogadishu, in heavy fighting on Wednesday.

""After many hours of fighting we made a tactical retreat,"" said Aden Ismail, a military officer who transported injured soldiers to the nearby Hiiraan region.

The army and allied clan militias have been using Adan Yabaal as an operating base for raids against al Shabaab.

President Hassan Sheikh Mohamud, who hails from the area, visited the town last month to meet with military commanders there about sending reinforcements.

""If al Shabaab captures one town, that does not mean they overpowered us,"" Mohamud said in a speech on Wednesday, without directly naming the town. ""There is a big difference between a war and a battle.""

Al Shabaab, which has waged an insurgency since 2007 to seize power and rule based on its strict interpretation of Islamic Sharia law, said in a statement that its forces had overrun 10 military installations during Wednesday's fighting.

""After early morning prayers, we heard a deafening explosion, then gunfire,"" Fatuma Nur, a mother of four, told Reuters by telephone from Adan Yabaal. ""Al Shabaab attacked us from two directions.""

National government officials were either not reachable or did not respond to requests for comment.

The fighting comes as the future of international security support to Somalia has grown increasingly precarious.

A new African Union peacekeeping mission replaced a larger force at the start of the year, but its funding is uncertain, with the United States opposed to a plan to transition to aU.N. financing model. 


",Al Shabaab captures strategic Somalia town as it presses offensive,"By Reuters April 16, 2025",Reuters,04/16/2025 09:28,04/16/2025 09:28
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T170321Z.doc-42k93np&type=news,,Un avion de vitesse intercepte un avion militaire russe sur le territoire ukrainien,,AFP,04/16/2025 17:03,04/16/2025 17:03
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T124946Z.doc-42hy9kd&type=news,,Les détenus de la «chasse aux sorcières» en Russie,,AFP,04/16/2024 12:49,
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T120226Z.doc-42hp89d&type=news,,French Prime Minister Jean Castex to present resignation letter to Emmanuel Macron,,AFP,04/16/2022 17:20,04/16/2022 12:02
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T124402Z.doc-42j46g2&type=news,,"French submarine sinks after fire, Macron orders inquiry",,Agence France-Presse,04/16/2025 12:44,04/16/2025 12:44
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T140936Z.doc-42jh2cp&type=news,,"Afrique : Madagascar vit dans ""la catastrophe alimentaire""",,AFP,04/16/2024 14:09,
https://apnews.com/article/iran-us-nuclear-talks-iaea-zarif-tehran-c3a8afc699c670300b9521f1e2019ef7,,IAEA chief hails 'constructive' talks with Iran in Vienna,,AP,04/05/2023 07:16,04/05/2023 07:16
https://www.washingtonpost.com/world/2025/04/16/russia-ukraine-expiration-energy-ceasefire/,,"Russia, Ukraine can't agree on key terms of grain export deal, potentially derailing agreement",,The Washington Post,04/16/2025 08:00,
,,,,,
,,,,,
