URL,article_text,title,author,source,published_date,updated_date
https://www.reuters.com/world/africa/al-shabaab-captures-strategic-somalia-town-it-presses-offensive-2025-04-16/,"Sign uphere. Reporting by Abdi Sheikh; Writing by George Obulutsa and Hereward Holland; Editing by Aaron Ross and Joe Bavier Our Standards:The Thomson Reuters Trust Principles., opens new tab Guatemalan police on Wednesday detained Luis Pacheco, the nation's deputy energy minister and a former Indigenous leader accused of terrorism and illicit association. Reuters, the news and media division of Thomson Reuters, is the worldâx80x99s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Access unmatched financial data, news and content in a highly-customised workflow experience on desktop, web and mobile. Browse an unrivalled portfolio of real-time and historical market data and insights from worldwide sources and experts. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes.See here for a complete list of exchanges and delays. Â© 2025 Reuters.All rights reserved",Al Shabaab captures strategic Somalia town as it presses offensive,Reuters,Reuters,2025-04-16T16:10:54-04:00,2025-04-16T16:11:03-04:00
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T170321Z.doc-42k93np&type=news,,AFP News,,,,
https://apnews.com/article/iran-us-nuclear-talks-iaea-zarif-tehran-c3a8afc699c670300b9521f1e2019ef7,"WASHINGTON, Sept 30 (Reuters) - Former aides to Donald Trump are discussing plans for a second term that would focus on tax cuts, regulatory rollbacks and an effort to make permanent the 2017 tax cuts, according to a person familiar with the matter. The discussions highlight what a second Trump term might look like, a return to the economic policies of his first term, along with more aggressive measures to limit the power of the federal government. A second Trump term would seek to extend the 2017 tax cuts, which are due to expire in 2025, according to the person, who asked not to be identified. The 2017 tax cuts, which were the largest tax cuts in U.S. history, lowered corporate tax rates and individual income tax rates. Trump is also considering an across-the-board cut in income taxes, the person said. Trump is expected to make a decision on whether to run for president in 2024 later this year. The former president has repeatedly teased a run for the White House. A spokesperson for Trump did not immediately respond to a request for comment. The effort to make the tax cuts permanent would likely be met with strong opposition from Democrats, who argue that the tax cuts have benefited the wealthy and have increased the national debt. A second Trump administration would also likely seek to roll back regulations enacted by the Biden administration. Trump aides are also discussing plans to overhaul the federal government and limit the power of federal agencies, the person said. A return to the economic policies of Trump's first term, including tax cuts and regulatory rollbacks, would likely be welcomed by many Republicans and business groups. However, Democrats and some economists have raised concerns that such policies could lead to increased deficits and inflation. Reporting by David Morgan; Editing by Scott Malone and Jonathan Oatis","Trump aides eye tax cuts, regulatory rollback if he wins second term",,Reuters,2022-09-30T16:58:00,2022-09-30T17:09:00
https://en.yna.co.kr/view/AEN20250416003400315?section=national/politics,"SEOUL, April 16 (Yonhap) -- Police on Wednesday raided the presidential office and the Presidential Security Service (PSS), as part of their investigation into allegations that former President Yoon Suk Yeol and acting PSS chief Kim Seong-hoon obstructed the execution of a detention warrant for Yoon early this year. The police's special investigation team on Yoon's Dec. 3 martial law declaration searched the presidential office's secure phone server and the PSS office and residence, all in the central Seoul district of Yongsan, in the morning, police officials said. Kim is accused of obstructing investigators' attempt to detain Yoon at the presidential residence in January. Last month, a Seoul court turned down the prosecution's request for warrants to arrest Kim and Lee Kwang-woo, chief of the PSS' bodyguard division. Police officials said the presidential office's surveillance cameras are also subject to the raid in connection with former Interior Minister Lee Sang-min's insurrection charges. The presidential office (Yonhap) ycm@yna.co.kr(END)",Police raid presidential office over alleged obstruction in warrant execution,Yoo Cheong-mo,Yonhap News Agency,2025-04-16T05:07:03-04:00,2025-04-16T05:07:03-04:00
https://asia.nikkei.com/Economy/China-GDP-grows-5.4-in-first-quarter-as-tariff-war-darkens-outlook,"Front-loading, stimulus help beat estimates; U.S. says Beijing 'needs to make a deal' China watchers are anticipating more government stimulus measures to shore up the economy and boost domestic demand, as the country's exporters facexa0sharply higher U.S. tariffs. xa0

© Reuters GUANGZHOU -- China's economy grew 5.4% in the first three months of the year, exceeding its annual target pace of ""around 5%"" in what may prove to be a last spurt before an intensifying trade war with the U.S. hits the brakes. The rate the National Bureau of Statistics announced on Wednesday beat a forecast of 5.0% by economists polled by Nikkei. The pace matched the 5.4% recorded for the previous quarter.",China GDP grows 5.4% in first quarter as tariff war darkens outlook,Staff Writer,Nikkei Asia,2025-04-16T07:42:39-04:00,2025-04-16T07:42:39-04:00
https://www.riotimesonline.com/venezuela-keeps-oil-output-above-one-million-barrels-in-march-opec-reports/,"In early July, the first of the summer’s heat waves enveloped the Northern Hemisphere. From Phoenix to Seville, Spain, temperatures soared above 100 degrees Fahrenheit. In some places, they remained above 100 degrees, even at night. More than a billion people were affected by extreme heat alerts. The heat waves were a stark reminder of a future that, for many, is already here.

Yet even as these extreme weather events become more frequent, and more dangerous, there is reason for hope. The world is getting better at adapting to the heat. In cities, the solutions are often quite practical: Planting more trees to create shade, painting roofs white to reflect sunlight, and opening public cooling centers for vulnerable populations.

The Times is committed to in-depth reporting about climate change. Here’s what you need to know.

But what is the best way to beat a heat wave? This question, and others, were considered at a recent conference in Singapore, called the Global Heat Resilience Forum. The forum brought together mayors, government officials, and climate scientists to discuss what’s working, what’s not, and how to improve the world’s response to extreme heat. Here are some of the key takeaways:

Cities need to designate a heat officer. Some cities, like Athens, Greece, and Freetown, Sierra Leone, have appointed a heat officer, whose job it is to coordinate a city’s response to extreme heat. Their responsibilities can include everything from planting trees to creating public awareness campaigns to expanding the availability of cooling centers.

Extreme heat is a social justice issue. Climate change disproportionately affects the poor and the elderly. Those who live in low-income communities are often forced to work outside, and they may not have access to air conditioning or cooling centers. Heat officers can advocate for these populations and help them gain access to resources.

Cooling centers should be plentiful and easily accessible. Cooling centers are often found in libraries, community centers, and other public facilities. They provide a place for people to escape the heat and can save lives. Some experts suggest that the centers should be open 24 hours a day, seven days a week, during heat waves.

Communicate early and often. Public health experts say it is crucial to communicate the dangers of extreme heat to the public. Cities can use public service announcements, social media, and other channels to get the word out. They can also work with local media to share information.

Heat waves are a global issue. The Global Heat Resilience Forum underscored the fact that extreme heat is a problem for every country in the world. And even though the solutions can be tailored to individual cities, the problems — and the response — are global.

The heat officer in Freetown, Sierra Leone, Mark Turay, said that the challenges of extreme heat were often viewed in the Global South as a matter of infrastructure and climate finance. “The question that we are now trying to solve,” he said, “is how do we get more money to build the climate resilience measures that we need?”",What It Takes to Beat a Global Heat Wave,David Gelles,The New York Times,2024-07-11T13:58:09-04:00,2024-07-11T14:19:24-04:00
https://www.africanews.com/2025/04/15/south-africa-appoints-mcebisi-jonas-as-special-us-envoy-in-bid-to-ease-tensions/,"Please select your experience Copy/paste the script below OTHER WIDGETS The South African presidency announced Monday the appointment of Mcebisi Jonas as ""Special Envoy to the United States of America, serving as the official representative of the President and the government of the Republic of South Africa.""
Mcebisi Jonas is former deputy finance minister and also served as investment envoy in 2018. In 2016, he accused the government of Jacob Zuma, back then president of South Africa, of corruption, saying that the Gupta family had offered to bribe him for the position of finance minister. The move to appoint him as special envoy to the US comes as relations between Washington and Pretoria are at their lowest point in years. The situation rapidly deteriorated earlier this year when US president Donald Trump cut off US foreign assistance to South Africa. And in late March, South African ambassador to the US Ebrahim Rasool was declared a persona non grata and expelled from American territory over critical remarks he made on the subject of the Trump administration. In his statement announcing the appointment of the special US envoy, president Ramaphosa however noted that he remained ""committed to rebuilding and maintaining"" the relationship with Washington. ""Mr Jonas is entrusted with the responsibility to advance South Africa's diplomatic, trade and bilateral priorities"", noted the presidency.",South Africa appoints Mcebisi Jonas as special US envoy in bid to ease tensions,,Africanews,2025-04-15T02:13:40-04:00,2025-04-15T02:13:40-04:00
https://www.politico.eu/article/israel-benjamin-netanyahu-france-emmanuel-macron-recognizing-palestine-warning-terrorism/,,,,,,
https://en.mehrnews.com/news/230599/Leader-to-receive-lawmakers-for-meeting-today,"TEHRAN, Apr. 15 (MNA) âx80x93 ""We are neither overly optimistic nor overly pessimistic about these talks,""Âxa0Leader of the Islamic Revolution said while referring to the first round of indirect negotiations between Tehran and Washington in Oman on Saturday. ""The Oman talks are one of dozens of tasks for the Ministry of Foreign Affairs,"" the Leader of the Islamic Revolution Ayatollah Seyyed Ali Khamenei said in his meeting withÂxa0a group of high-ranking officials from three branches of the Iranian government on Tuesday. The Leader of the Islamic Revolution also said thatÂxa0the country's issues must not be tied to the talks. ""We are neither overly optimistic nor overly pessimistic about these talks,""Âxa0Ayatollah Seyyed Ali Khamenei said while referring to the first round of indirect negotiations between Tehran and Washington in Oman on Saturday. After all, it is a decision and a move that has been made and has been implemented well in the first steps, theÂxa0Leader noted. He continued, ""Of course, we are very pessimistic about the other side, but we are optimistic about our own abilities."" Recalling the mistakes made during the JCPOA agreement in 2015,Âxa0the Leader of the Islamic Revolution said, ""The mistake we made in the JCPOA should not be repeated."" ""During the JCPOA, we conditioned the country and made everything dependent on the progress of the negotiations,"" he said. ""Investors will not invest when they see that the country is dependent onÂxa0negotiation,"" he underlined. âx80x9cThe negotiations may or may not yield results. We are neither too optimistic nor too pessimistic about them. Of course, we are very skeptical of the other party, but confident in our own capabilities,âx80x9d the Leader said. âx80x9cThe removal of the sanctions is not in our hands, but neutralizing them is; there are many ways and [there is] great domestic capacity to do that. If this objective is achieved, the country will become impervious to sanctions,âx80x9d the Leader said. Ayatollah Khamenei said the first steps in the current talks with the United States have proceeded satisfactorily. He urged officials to continue the negotiations with similar care hereafter. The remarks came after Iran and the US held talks in the Omani capital last Saturday, with Oman's foreign minister functioning as the mediator, according to Press TV. The Islamic Republic has asserted that the talks were solely aimed at addressing the USâx80x99s illegal and unilateral sanctions against the country, and various aspects of the Iranian nuclear energy program, strongly rejecting speculation about the processâx80x99s involving other issues. The United States lifted some of the sanctions as per the Joint Comprehensive Plan of Action (JCPOA), a historical 2015 nuclear agreement between Iran and world powers. Washington, however, returned the bans three years after conclusion of the deal, and even began piling up more coercive measures on the Islamic Republic. The US has termed the adversarial approach as âx80x9cmaximum pressure,âx80x9d which has also seen American officialsâx80x99 repeatedly threatening to use military force against the Iranian soil. The Islamic Republic has, meanwhile, underscored that any direct negotiations with the US were neither useful nor acceptable for Tehran as long as Washington retained its hostile policies. MNA/ Ú©Ù¾Ûx8c Ø´Ø¯ Â© 2017 Mehr News Agency. All rights reserved",We neither overly optimistic nor pessimistic on talks: Leader,Marzieh Rahmani,Mehr News Agency,2025-04-15T08:14:15-04:00,2025-04-15T12:48:56-04:00
https://www.naharnet.com/stories/en/312205-presidency-hezbollah-discussing-weapons-in-bilateral-dialogue,"President Joseph Aoun said Monday that the disarmament of the militant group Hezbollah will come through negotiations as part of a national defense strategy and not through ""force."" The Lebanese government has made a decision that ""weapons will only be in the hands of the state,"" but there are ""discussions around how to implement this decision,"" Aoun said in an interview with Qatari broadcaster Al Jazeera. Those discussions are in the form of a ""bilateral dialogue"" between the presidency and Hezbollah, he said. Lebanon has been under pressure by the United States to speed up the disarmament of Hezbollah but there are fears within Lebanon that forcing the issue could lead to civil conflict. ""Civil peace is a red line for me,"" Aoun said. Aoun said the Lebanese army — of which he was formerly commander — is ""doing its duty"" in confiscating weapons and dismantling unauthorized military facilities in southern Lebanon, as outlined in the ceasefire agreement that ended the latest Israel-Hezbollah war in late November, and sometimes in areas farther north. in Syria.","Presidency, Hezbollah discussing weapons in 'bilateral dialogue'",Naharnet Newsdesk,Naharnet,2025-04-15T09:12:28Z,2025-04-15T09:12:28Z
